author,comment,likes,published_at
@tohasukirman6296,"Yah  Presiden sekarang cuman omon2, daan tdk pernah koreksi diri  atas apa yg sdh di omon2 kan sdh di lakukan berdasar  prosedur yg benar dlm pemerintahan.",0,2026-05-14T02:25:58Z
@F41zal,"Mantap...Memang negara ini milik kita bersama..kalau sekiranya pemimpin negara ini .dalam kebijakannya cendrung merugikan
Banyak pihak..yang tidak efektif.
Kurang menguntungkan mayoritas
Masyarakat.siapapun Presidennya
Kritik itu penting untuk membangun negara yang lebih baik.",0,2026-05-13T23:01:14Z
@SriMul-d1c9i,Peristiwa 1998 bisa mungkin terjadi,0,2026-05-13T08:42:37Z
@asriodeteke2783,"Berpotensi untuk terulangnya tragedi 1998.
Musuh dalam selimut bangsa penjajah, mafia, dan kaki tangannya. Pemilik modal besar bermain dibelakang layar dengan memanfaatkan masalah2 dalam negeri.",0,2026-05-13T02:09:13Z
@Mama-f8z,"Magput ini SDH kadaluarsa, jdi gak perlu byk omong, biarkan kaum muda gen z yg paham jamannya..dulu ketika menjabat TDK ada yg mampu dibuat, seharusnya ketika diluar kandang jgn lgi jual kecap,",0,2026-05-13T02:07:46Z
@SupadiBeat,DPR ITU  TUGASNYA MNGISAP NGROGOTI UANG RKYT JD LBH BAIK BUBARKN KR DPR ITU TDK MEWKLI RKYT JUSTRU BIKIN RKYT SENGSARA,0,2026-05-12T10:35:38Z
@Didik321-w3l3g,"Ya. Bagus cita cita dan keinginan Prabowo . . 
Namun pelaksanaan nya   nol besal
KARENA  Mentri dan bawahan nya musuh dlm selimut, Jadi klau TDK brani bersih2 di dalam
Semua itu jadi omon2 seperti sekarang ini.

Omon2 karena gak brani basi musuh dlm selimutnta",0,2026-05-11T13:01:40Z
@WahyuSofyan-b8i,"Ini bukan NEGARA  tapi  NERAKA  bt rakyat Indonesia  , , , , ,",0,2026-05-10T22:48:26Z
@WahyuSofyan-b8i,"PRABOWO tdk berkonsep jd presiden  , asal bicara , asal  maunya sendiri  !!!!!    B A H A Y A   itu  ??  Km acak negri ini   , , ,  dirusak prabowo  !!  P.erusak bangsa  , , , ,",0,2026-05-10T22:32:51Z
@ramlidriver1829,Suharto lengser atas kesadaran karna Rakyat tak suka  mereka.,0,2026-05-10T19:11:35Z
@ramlidriver1829,Kami melihat prabowo ada perubahan sebagai presiden yaitu tegas saat ini kinerjanya bagus korupsi banyak yg tertangkap uang Negara banyak yg kembali. Kami slalu memantau agar tak menyimpang dari jalur kekuasaan,0,2026-05-10T19:05:06Z
